楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,平均スコア,最小スコア,最大スコア,s6前スコア,ポイント
10,6,10_6,1205,126.61417,1105.1,54.198,36.312,47.671,53.655,42.787,88.1265,913.4715,686.178,91,131,232,281,381,428,530,583,667,712,948,997,911,1030,3430089.858,3424952.66,3436698.593,2566423.22,376.7331903
11,1,11_1,126,89.18919,70.5,4.4,3,2.9,4.1,6,5.454,51.271,44.1,6,22,26,28,32,42,49,62,88,91,102,110,85,96,3366807.749,3350931.201,3378504.409,2766370.399,340.3103655
11,2,11_2,297,89.18919,202.3,12,12.6,9.307,8.787,17.427,12.954,139.866,130.38,19,30,48,65,87,107,120,142,200,223,259,277,195,223,3373679.026,3357900.85,3385001.878,2921306.097,340.7388099
11,3,11_3,367,89.18919,327.7,21.7,20.291,24.24,19.594,35.649,21.218,209.304,193.339,42,69,90,109,128,151,172,192,269,290,329,349,261,296,3815063.999,3794729.824,3825488.384,3344464.548,368.2604611
11,4,11_4,597,89.18919,523.1,32.2,33.128,34.772,35.816,59.904,34.65,343.626,304.146,47,88,123,161,188,223,255,305,414,445,516,557,402,461,3999356.963,3976367.062,4009384.629,3458796.428,379.7516694
11,5,11_5,722,89.18919,666.3,44.72,48.228,45.186,46.247,73.395,46.746,427.724,388.356,65,112,166,217,254,300,339,388,521,560,637,680,505,576,4166863.437,4147372.115,4174881.937,3617225.617,390.1961908
13,1,13_1,134,116.57143,87.5,2,2,2.7,7.5,3.2,2.02,75.803,63.986,10,11,17,18,25,33,64,68,81,94,116,117,61,73,2751844.186,2726741.376,2763886.176,2410624.978,321.9067017
13,2,13_2,381,116.57143,300.1,14,9.3,9.393,32.421,6.63,18.161,232.884,193.342,34,47,70,81,105,116,163,187,228,247,294,317,153,190,3144346.339,3109976.777,3161786.547,2577437.908,347.9965508
13,3,13_3,462,116.57143,411.8,14.1,17.282,18.685,27.54,14.689,16.171,329.703,273.484,51,65,92,110,157,178,226,252,297,313,372,393,218,263,3038402.448,3025354.078,3046117.825,2578366.52,340.954398
13,4,13_4,719,116.57143,636.7,25.5,28.684,25.908,46.35,22.984,24.465,522.577,427.113,61,90,130,161,219,255,336,365,432,463,564,598,326,396,3214757.189,3199447.028,3222463.278,2724426.45,352.6768014
13,5,13_5,985,116.57143,847.4,37.41,42.84,32.385,65.205,11.66,46.008,696.472,561.856,94,157,252,293,370,429,536,589,683,693,809,856,516,613,3331919.591,3310906.504,3352269.341,2711436.123,360.4646552
15,1,15_1,156,103.38462,90.5,3.3,2,3.3,5.55,5.353,5.353,70.893,58.066,6,20,28,29,50,64,78,87,106,113,131,138,75,89,2925472.623,2912834.088,2938200.976,2367392.525,318.6935549
15,2,15_2,322,103.38462,233.5,8,8.7,9.4,19.089,17.748,12.648,174.503,145.219,10,17,45,59,88,100,155,172,208,222,261,283,149,180,3241265.687,3221765.935,3255192.373,2721923.237,338.7557025
15,3,15_3,546,103.38462,499.9,25,25.553,18.705,37.179,26.986,28.912,375.697,298.557,49,68,112,136,181,202,261,287,347,374,430,458,251,304,3329291.534,3316856.284,3339222.155,2728074.597,344.3479327
15,4,15_4,773,103.38462,742.9,39.842,31.623,33.394,56.367,37.905,39.008,572.2725,465.3865,65,106,171,201,268,304,394,431,509,544,617,654,381,458,3455347.254,3441765.456,3463547.892,2882512.113,352.3561785
15,5,15_5,902,103.38462,878.2,46.993,42.198,43.466,68.3085,47.7,39.055,668.1665,550.3525,66,112,198,239,327,367,461,510,610,650,739,787,443,532,3544648.393,3531914.03,3551206.926,3029452.282,358.0294273
18,1,18_1,229,125.83784,147.7,3,3.7,7.4,7.8,10.605,3.03,122.079,99.383,17,19,32,41,55,64,81,95,152,158,194,196,149,170,2823770.971,2806760.591,2840073.564,2464935.279,329.5787592
18,2,18_2,467,125.83784,259.5,11.6,8.2,14.342,12.423,16.065,5.047,207.917,177.406,30,46,66,84,111,124,151,165,251,274,333,363,243,286,2955805.671,2946864.844,2965940.049,2653702.349,338.4328509
18,3,18_3,765,125.83784,504.5,23.5,20.705,28.754,26.418,30.888,10.771,408.169,353.808,54,81,109,133,180,207,262,295,472,498,578,634,464,538,3150185.452,3143679.472,3157241.109,2845340.172,351.4677303
18,4,18_4,1073,125.83784,821.4,29.136,24.987,44.756,36.282,51.198,37.152,682.061,552.911,73,119,174,204,263,308,377,421,653,695,826,889,641,746,3252866.194,3240983.339,3263664.791,2703022.749,358.3533801
18,5,18_5,1208,125.83784,1029,55.954,28.254,49.749,45.26,58.545,41.676,855.709,692.58,105,162,228,261,330,375,455,502,762,810,954,1010,749,866,3308192.414,3300150.897,3320221.87,2776286.555,362.0634913
19,1,19_1,128,100.96552,91.5,3.7,3,3,9,5.714,4.646,69.131,60.95,10,19,32,34,38,40,55,60,94,105,112,121,51,62,3128970.71,3102493.843,3143620.376,2699823.101,331.6216686
19,2,19_2,338,100.96552,290.5,12,12.1,13.534,21.513,19.176,17.091,217.389,200.929,41,52,80,92,108,124,177,192,251,272,294,324,167,199,3255681.318,3242267.887,3264831.132,2820518.132,339.6715191
19,3,19_3,562,100.96552,514.9,28.12,23.735,19.074,32.136,34.528,18.795,398.071,378.856,85,112,157,184,218,240,310,337,446,479,517,542,293,346,3237591.417,3228127.606,3248428.905,2956204.526,338.5222783
19,4,19_4,701,100.96552,639.1,34.371,28.992,22.644,41.7615,38.115,30.21,498.1765,468.4865,83,118,183,216,256,296,383,417,553,590,627,666,362,432,3355224.939,3345810.601,3366283.165,2983661.011,345.9954667
19,5,19_5,824,100.96552,791.8,34.34,40.25,27.374,49.608,52.47,50.29,608.048,573.176,101,134,197,240,286,325,445,483,649,697,746,790,419,498,3500496.9,3489484.438,3512387.837,3021354.87,355.224509
19,6,19_6,1000,100.96552,904.8,40.3,38.051,29.092,97.377,50.001,64.034,678.421,619.255,39,75,164,232,289,326,464,530,763,822,882,952,437,536,3667895.811,3636369.552,3685289.442,3105982.427,365.8592633
21,1,21_1,195,119.22581,136.8,3,3,3,7.9,10,14.039,103.879,79.639,6,8,14,16,22,24,56,70,89,98,145,159,140,158,3043408.954,3021633.354,3055856.702,2177202.373,341.2871834
21,2,21_2,405,119.22581,357.8,10,10.5,10.5,19.392,26.826,48.822,264.663,199.75,14,23,44,58,80,94,133,149,192,214,303,327,290,329,3412573.565,3392464.022,3423558.517,2313412.226,365.8257722
21,3,21_3,751,119.22581,613.3,23.6,23.189,23.735,26.724,30.898,85.365,465.291,317.681,21,49,96,127,166,193,249,299,392,433,551,591,538,612,3497267.743,3491902.591,3500159.625,2257871.744,371.4554441
21,4,21_4,972,119.22581,792.9,38.823,27.421,33.172,32.572,31.29,83.46,636.2175,433.2765,71,115,169,205,259,304,389,419,519,570,714,757,699,795,3465167.09,3460291.193,3469504.539,2366878.449,369.3216948
21,5,21_5,1145,119.22581,999.4,45.623,42.024,36.256,47.592,51.304,111.78,783.526,554.177,88,135,208,259,326,371,469,524,640,691,848,900,830,943,3660599.639,3655844.07,3666246.405,2541092.448,382.3122113
22,1,22_1,120,97.2,92.3,4,4,4,4,9,4.1,69.81,54.9,8,11,20,23,30,33,38,41,65,70,86,90,61,72,3161457.546,3138652.866,3169286.018,2649543.527,327.5061764
22,2,22_2,367,97.2,276.9,12,16,12.827,11.615,33.66,12.342,201.382,161.562,31,42,66,81,102,120,140,164,206,226,275,287,196,231,3428952.202,3395265.491,3443714.196,2932124.271,344.1852549
22,3,22_3,515,97.2,450.3,27,23.382,22.119,24.378,47.895,15.6,326.166,263.824,24,50,96,119,160,189,217,248,311,340,408,440,297,347,3491063.103,3466940.586,3502055.99,3053768.663,348.0580523
22,4,22_4,756,97.2,625.2,29,35.047,32.946,36.05,64.515,24.592,463.3735,381.7415,44,72,138,177,229,271,322,383,497,535,644,668,478,550,3640396.887,3616839.11,3652483.9,3170544.779,357.369453
22,5,22_5,979,97.2,787.4,19.943,43.452,40.067,39.52,87.768,39.636,605.252,498.766,53,107,201,246,318,381,432,496,622,676,815,875,596,692,3674631.784,3642259.777,3696849.149,3117654.816,359.5040995
26,1,26_1,148,93,95,3,3,3,4.4,12,6.06,74.869,62.749,4,6,25,27,33,35,47,63,89,93,134,139,84,97,3272561.533,3232887.373,3288226.867,2707018.093,334.4338368
26,2,26_2,371,93,290.9,11.7,10.3,9.393,9.494,49.911,17.304,215.939,185.966,32,49,68,80,103,114,131,143,186,212,306,347,172,208,3516335.668,3457244.968,3538375.958,3001302.69,349.6338711
26,3,26_3,520,93,434.1,19.4,23.389,19.392,21.522,55.6845,17.992,326.8,285.538,34,62,83,117,162,182,205,226,295,324,447,466,275,326,3576580.522,3540454.986,3591324.911,3169172.276,353.3903149
26,4,26_4,825,93,686.5,34.4,34.845,33.456,31.518,85.8,40.125,509.347,434.345,40,81,118,156,224,263,305,358,447,494,720,759,421,502,3773963.061,3739094.169,3787657.362,3222544.469,365.6976967
26,5,26_5,952,93,851.3,63,42.824,38.302,36.67,90.41,55.08,620.931,522.874,45,100,155,200,270,319,363,437,544,605,812,868,506,601,3862629.939,3834348.554,3878747.199,3248322.03,371.2263373
27,1,27_1,148,127.5,91.8,2,2,2,2.5,7.5,2.626,79.577,70.184,2,3,12,13,18,19,42,48,85,89,134,141,83,95,2643300.722,2618382.414,2652607.153,2321129.601,323.0464022
27,2,27_2,410,127.5,287.5,10,9.5,10.1,10.201,20.196,10.712,241.616,209.181,2,11,55,67,88,98,132,142,222,236,312,343,217,256,2916753.75,2901465.894,2922821.166,2519131.203,341.70555
27,3,27_3,679,127.5,565.3,16.3,23.129,22.321,27.672,31.2,15.816,476.403,414.413,44,62,124,150,176,198,276,303,415,443,580,612,410,476,2973861.744,2965481.794,2982516.45,2625870.911,345.6023308
27,4,27_4,811,127.5,695.4,26.3,29.997,27.642,33.063,39.06,14.659,590.9145,520.4925,44,72,159,190,233,260,346,378,516,547,707,744,509,590,3091784.054,3084517.855,3096914.729,2790871.228,353.6487943
27,5,27_5,989,127.5,879.9,34.5,32.723,42.176,40.144,50.085,25.023,743.521,660.701,45,83,188,219,275,317,426,469,651,686,871,912,643,740,3213782.084,3206205.643,3219900.915,2871483.985,361.9733657
28,1,28_1,160,124.8,113.1,3,3,3,4,5,6.6645,92.282,62.3,4,6,12,14,20,22,42,45,55,59,100,114,95,109,2676241.06,2668722.701,2680055.522,1921079.256,319.685577
28,2,28_2,436,124.8,323.5,9,10.4,6,14.13,16.362,29.07,265.07,178.07,8,16,31,44,67,72,100,113,145,162,277,295,263,305,3008506.793,2997806.739,3018814.78,2045274.353,341.9669261
28,3,28_3,677,124.8,674.5,21,27.12,32.32,27.54,33.114,47.88,540.2675,383.8645,19,39,86,112,154,177,221,247,294,325,515,544,496,562,3168404.49,3163097.347,3175021.703,2353521.583,352.6894775
28,4,28_4,984,124.8,939.6,38,35.552,34.068,50.47,42.744,66.3315,760.5155,543.3595,29,66,132,168,229,257,323,366,432,478,763,803,732,830,3322527.78,3315310.91,3327361.707,2480958.377,363.0248041
28,5,28_5,1198,124.8,1149.3,46.5,44.904,49.025,67.6,47.866,110.6895,913.8785,646.5615,28,78,159,206,286,359,431,487,584,630,912,973,885,1004,3593409.162,3584746.221,3597556.337,2564001.836,381.1897908
36,1,36_1,266,139.53488,163.4,4,4,4.7,7,5.858,10.605,138.562,78.594,11,14,25,28,35,45,79,85,107,128,172,178,168,193,2757895.937,2750643.109,2762811.522,1804202.117,342.2750073
36,2,36_2,618,139.53488,397.4,11.3,12.68,12.726,13.668,9.641,23.682,349.269,197.049,36,49,91,108,133,150,225,241,287,308,399,415,390,450,2782472.31,2779778.242,2786164.752,1820503.525,344.0098101
36,3,36_3,812,139.53488,568,25.4,16.16,19.19,24.072,13.081,39.8475,484.988,276.589,38,66,123,147,177,195,272,300,363,390,503,530,488,568,3011981.314,3004635.156,3019725.346,1984508.473,360.2104457
36,4,36_4,1300,139.53488,881.1,34.604,31.314,31.106,34.754,18.338,59.607,776.693,476.479,87,124,217,253,316,365,485,528,641,687,882,921,860,987,3125088.549,3120933.495,3132968.105,2123877.256,368.1944858
36,5,36_5,1437,139.53488,1023.7,38.664,31.416,37.492,42.21,18.511,73.251,909.13,546.82,89,130,235,272,343,400,542,592,713,759,975,1022,950,1091,3191017.295,3184960.155,3200625.665,2119160.991,372.8482796
38,1,38_1,113,96.27907,86.4,3,3,3,3,7.5,3,69.922,62.9,7,9,29,31,37,39,45,47,64,68,87,89,60,70,2911548.574,2889730.303,2919038.428,2583695.586,314.8662926
38,2,38_2,347,96.27907,319,11,18.2,11.04,17.372,30.396,13.39,239.238,219.668,24,34,48,67,94,104,118,136,233,255,317,329,218,251,3225924.83,3202499.176,3241151.257,2878929.906,334.653504
38,3,38_3,618,96.27907,497.7,20.2,28.179,20.528,28.05,48.516,19.95,377.856,350.384,41,71,109,144,188,218,256,296,431,461,550,586,412,472,3403605.145,3380866.696,3416980.07,3069828.154,345.8369121
38,4,38_4,852,96.27907,757.3,31.8,42.622,35.7,43.466,71.589,39.294,569.285,525.791,39,77,125,177,240,283,347,399,593,636,775,815,569,654,3603981.427,3582949.352,3616727.886,3181472.819,358.448831
38,5,38_5,967,96.27907,892.6,46.3,44.541,49.234,46.796,82.362,57.57,652.642,595.338,43,91,151,195,258,307,378,424,623,679,853,915,593,688,3755508.447,3736478.734,3763475.455,3230841.998,367.9861199
41,1,41_1,151,142.43902,126.4,2,2,5,4,5,12.12,106.249,72.515,6,7,14,15,22,26,44,47,60,64,103,108,97,111,2791651.741,2783805.538,2800618.829,1834293.196,347.529918
41,2,41_2,399,142.43902,401.7,8.7,9,9.09,7.979,31.62,41.52,335.972,236.122,27,41,79,87,110,118,141,156,205,219,292,308,276,314,3057062.6,3032523.556,3066448.033,2051306.542,366.4209263
41,3,41_3,659,142.43902,617.1,23.4,14.544,12.221,21.726,26.059,43.155,533.775,387.835,45,67,120,137,179,200,250,272,364,383,504,529,485,550,2945933.068,2938730.98,2954324.767,2133687.563,358.5111184
41,4,41_4,920,142.43902,922.6,33,26.563,27.744,29.973,37.893,65.0265,799.057,555.151,57,87,161,189,252,280,342,379,486,510,672,708,643,734,3089539.272,3084667.236,3093083.017,2203977.621,368.7325011
41,5,41_5,1224,142.43902,1101.9,41.23,30.498,30.076,47.84,53.106,68.67,950.198,683.119,85,121,218,255,341,369,452,496,615,660,906,951,849,971,3172122.591,3163979.462,3179531.449,2363639.53,374.6104903
41,6,41_6,1126,142.43902,1053.6,38.645,25.487,32.508,23.088,42.716,86.832,924.715,644.26,83,114,185,217,298,343,425,474,599,639,847,893,813,922,3109417.676,3102508.208,3115984.769,2141938.197,370.1473758
43,1,43_1,122,120,88,2,2,2,2,7.95,5.555,71.811,60.6,6,7,14,15,22,23,30,31,76,83,103,112,73,84,2802256.121,2774211.094,2811883.519,2243597.978,331.0143847
43,2,43_2,366,120,297.8,10.2,10,10.09,9.494,18.972,14.214,241.286,206.884,22,33,62,71,100,109,138,150,228,252,310,330,219,254,2889844.17,2876698.1,2895156.19,2421982.283,336.9394586
43,3,43_3,715,120,563.7,20.3,21.513,24.786,17.304,44.34,29.044,456.657,399.533,57,88,153,176,227,253,305,336,496,525,605,644,484,553,3162499.062,3143172.114,3172795.631,2683629.431,355.3837601
43,4,43_4,983,120,883.2,32.392,35.896,39.346,36.92,54.5655,32.184,744.6035,638.4715,77,111,190,227,303,342,419,457,690,724,833,869,672,769,3238272.614,3228093.659,3244211.142,2802381.807,360.509618
43,5,43_5,1131,120,985.5,29.539,33.762,41.834,38.43,67.2,42.647,840.457,726.297,92,141,248,290,381,424,515,555,799,844,973,1020,779,891,3266440.047,3250644.463,3275898.284,2788347.574,362.415062
44,1,44_1,165,121.875,88.7,2,3.1,2,6,5.04,3.636,76.169,63.847,10,11,19,31,40,41,83,86,100,104,118,126,79,94,2875070.431,2857706.878,2888137.416,2425326.609,333.0188407
44,2,44_2,427,121.875,312.9,9.1,11.16,9.393,27.693,20.058,10.815,253.014,226.507,43,52,95,106,134,145,220,233,291,312,346,369,207,248,3106617.396,3081771.293,3121491.28,2766117.441,348.5461078
44,3,44_3,637,121.875,451.4,14,16.564,15.81,35.226,18.304,20.37,368.396,326.131,82,95,155,174,222,241,339,363,444,471,503,525,323,382,3068164.243,3049014.119,3077414.912,2644770.446,345.9674845
44,4,44_4,809,121.875,628.5,25.513,30.515,22.475,44.676,28.708,27.984,509.209,459.089,86,114,188,226,291,320,475,502,589,622,664,693,451,530,3278347.819,3264563.118,3287245.077,2867950.017,360.0621479
44,5,44_5,1072,121.875,857.4,34.542,35.619,34.84,61.851,41.987,48.254,693.482,616.068,119,163,261,303,401,447,634,672,791,832,885,932,600,702,3434835.13,3420311.933,3441432.103,2922240.927,370.5560029
44,6,44_6,1020,121.875,811.3,22.594,43.656,24.823,47.966,37.64,53.739,649.8885,553.2545,98,123,205,247,318,347,552,611,789,836,890,935,503,602,3320489.926,3309105.61,3332423.333,2695137.26,362.888148
45,1,45_1,139,116.30769,83.7,2.6,2,2,3.2,7.575,2.02,72.201,63.01,8,15,29,30,41,42,64,77,105,108,120,121,102,114,2802211.518,2775427.247,2814757.688,2494058.346,325.254648
45,2,45_2,339,116.30769,246.6,6.3,10,11.23,9.191,31.209,14.076,183.946,161.173,22,30,43,52,91,103,122,131,170,191,233,271,164,196,3276008.793,3236716.059,3295707.39,2794525.695,356.7482315
45,3,45_3,539,116.30769,375,11.2,18.08,23.23,15.708,34.1445,18.096,294.5795,266.4225,27,39,91,108,175,197,236,254,368,385,452,472,359,411,3348443.141,3325924.062,3364969.806,2936366.364,361.5629852
45,4,45_4,839,116.30769,679.7,25.3,33.431,34.506,34.112,60.867,39.804,515.816,469.087,53,80,127,160,289,327,406,445,567,612,723,760,554,635,3498765.84,3478893.192,3510779.973,3019650.379,371.5550235
45,5,45_5,1039,116.30769,818.2,37,42.622,41.851,33.39,90.843,45.968,623.804,572.081,55,100,154,197,361,406,509,556,707,758,898,949,686,789,3715714.387,3685576.516,3730162.522,3250228.346,385.975721
46,1,46_1,237,118.8,130.4,4,4,12.9,8.383,4.04,4.04,100.788,87.555,14,17,24,27,68,81,144,154,179,182,189,192,65,85,3020207.838,2991097.637,3034972.828,2680739.166,342.7515844
46,2,46_2,413,118.8,343.4,15,8,24.24,19.686,15.32,15.45,268.019,236.206,44,58,76,83,124,139,219,238,288,302,323,337,115,155,3090752.21,3076091.515,3105685.952,2673768.24,347.482207
46,3,46_3,770,118.8,589.4,23.87,20.907,34.443,28.184,34.65,31.164,463.735,408.923,77,106,165,200,272,315,458,492,569,599,647,678,265,339,3229075.698,3221109.75,3237897.461,2753470.406,356.7580174
46,4,46_4,1034,118.8,929.9,49.49,33.15,59.874,46.216,44.44,52.612,738.782,660.184,114,160,230,275,399,440,619,664,754,814,883,933,387,488,3442895.325,3433608.424,3452222.005,2940567.39,371.09651
46,5,46_5,1174,118.8,1085.4,51.338,34.321,79.698,46.759,62.91,64.9,863.777,781.167,147,203,279,325,473,530,721,767,870,925,1004,1070,457,574,3542515.981,3526996.411,3555776.6,3025073.427,377.776954
47,1,47_1,286,179.29412,166.7,3,4.1,5.7,5.757,3.03,8.721,149.101,105.292,17,19,57,70,86,97,107,118,151,153,209,220,204,230,2576750.618,2570624.974,2582376.968,1866914.391,356.9456355
47,2,47_2,684,179.29412,439.5,13,11.211,14.178,14.178,11.33,24.255,392.586,279.2925,49,61,140,160,238,257,280,299,380,399,525,543,513,580,2746106.998,2743773.79,2748680.318,2009768.718,369.8964175
47,3,47_3,1056,179.29412,719,25.553,21.828,21.527,21.736,23.73,33.384,654.04,459.064,90,118,234,267,355,379,419,443,569,594,745,772,719,824,2865843.523,2863460.373,2867203.678,2142736.185,379.05274
47,4,47_4,1363,179.29412,1022.2,25.25,19.57,35.021,35.33,36.38,60.825,948.986,651.631,107,148,308,344,472,514,563,605,738,767,997,1038,967,1101,3014524.233,3010071.131,3021770.37,2148785.332,390.4224413
47,5,47_5,1586,179.29412,1244.7,30.3,24.015,47.274,47.722,46.72,56.595,1158.594,819.024,109,155,378,429,583,627,683,727,887,926,1196,1239,1165,1322,3040530.397,3035164.258,3049342.787,2279812.117,392.411148
