楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,平均スコア,最小スコア,最大スコア,s6前スコア,ポイント
15,1,15_1,156,103.38462,90.5,4.2,3,4.2,7.05,6.363,6.363,64.573,53.766,5,19,27,29,49,63,77,87,105,113,130,138,75,89,3218021.784,3202775.588,3231408.893,2630578.14,337.279031
15,2,15_2,322,103.38462,233.5,10,9.6,9.4,17.574,17.748,16.728,169.038,147.914,9,17,44,58,87,99,154,170,207,221,259,283,149,180,3342064.197,3326848.383,3352805.949,2775375.748,345.1593725
15,3,15_3,546,103.38462,499.9,25,26.563,20.725,37.179,26.883,27.872,373.81,295.63,48,67,111,136,180,202,260,286,347,373,430,457,251,304,3346005.155,3334482.873,3354440.473,2753957.61,345.4097392
15,4,15_4,773,103.38462,742.9,39.822,32.623,37.474,56.337,37.8,36.888,569.4675,460.4615,63,104,169,200,266,304,392,429,509,543,617,652,381,458,3472706.593,3460187.164,3480189.179,2912923.62,353.4590071
15,5,15_5,902,103.38462,878.2,47.973,43.198,45.526,68.2785,48.76,40.125,662.0265,548.4925,64,110,196,238,325,365,459,508,609,649,737,785,443,532,3577287.532,3565282.292,3583650.528,3062721.871,360.1029726
18,1,18_1,229,125.83784,147.7,4,4.7,8.4,8.8,12.12,4.04,115.554,94.878,16,19,31,41,54,64,80,95,151,158,193,196,149,170,3010682.807,2992211.77,3027486.82,2633676.21,342.1128471
18,2,18_2,467,125.83784,259.5,12.6,9.2,14.544,13.433,17.595,5.871,202.351,173.694,29,46,65,84,109,124,150,165,250,274,332,361,243,286,3048344.839,3038576.437,3058333.426,2738902.82,344.6384186
18,3,18_3,765,125.83784,504.5,23.5,20.705,30.754,26.418,29.484,10.559,407.785,353.212,53,80,108,132,178,205,261,294,471,497,578,632,464,538,3153555.631,3147146.955,3160788.707,2850562.454,351.6937306
18,4,18_4,1073,125.83784,821.4,31.126,25.987,44.736,37.104,48.177,34.992,683.45,553.22,71,118,172,203,262,306,376,419,652,693,825,887,641,746,3245144.549,3235655.014,3254936.586,2709555.947,357.8355756
18,5,18_5,1208,125.83784,1029,55.954,29.274,50.779,45.24,57.0855,38.485,858.3295,692.0095,103,160,226,260,328,373,453,500,761,809,953,1008,749,866,3296340.43,3289267.594,3307845.718,2778876.125,361.2687112
19,1,19_1,128,100.96552,91.5,4.7,4,4,10.5,7.714,5.757,61.52,55.46,9,19,31,34,37,40,54,60,93,105,110,121,51,62,3477443.4,3448564.637,3494427.301,3014640.504,353.7599336
19,2,19_2,338,100.96552,290.5,13,13.1,14.544,24.543,20.196,19.131,208.289,195.909,40,52,79,92,107,124,175,192,250,272,292,324,167,199,3390147.833,3373767.962,3400332.471,2936048.532,348.2140976
19,3,19_3,562,100.96552,514.9,29.11,24.745,20.094,33.681,38.688,19.845,388.296,371.181,84,111,156,184,217,240,309,337,444,479,516,542,293,346,3321485.491,3309328.806,3333383.452,3034439.57,343.8520194
19,4,19_4,701,100.96552,639.1,35.361,30.002,24.684,43.461,42.315,32.33,486.117,460.667,82,117,182,216,254,296,381,417,551,590,625,666,362,432,3440954.531,3431231.879,3452220.341,3059924.676,351.4418173
19,5,19_5,824,100.96552,791.8,37.33,42.27,29.414,52.728,56.71,52.43,591.498,560.906,99,133,195,240,284,325,443,483,647,697,744,790,419,498,3597650.93,3585526.669,3610175.793,3110619.521,361.3966473
19,6,19_6,1000,100.96552,904.8,44.3,44.111,31.132,99.249,54.281,66.302,657.901,603.163,37,74,162,232,287,326,461,530,761,822,879,952,437,536,3773316.824,3742886.077,3791353.388,3203881.449,372.5565982
21,1,21_1,195,119.22581,136.8,4,4,4,8.9,12,14.544,97.374,75.154,5,8,13,16,21,24,55,70,88,98,144,158,140,158,3243649.649,3218826.92,3257143.426,2379165.606,354.5973002
21,2,21_2,405,119.22581,357.8,10,11.4,11.4,18.382,26.806,44.187,268.528,200.525,13,22,43,57,79,93,132,147,191,212,302,325,290,329,3365889.297,3346581.181,3376788.485,2329661.707,362.7226415
21,3,21_3,751,119.22581,613.3,24.4,24.179,26.765,26.724,34.602,76.545,465.587,309.157,20,47,94,126,164,192,247,297,390,429,547,589,538,612,3495312.866,3488467.982,3499134.863,2319600.776,371.3255022
21,4,21_4,972,119.22581,792.9,40.722,29.421,36.222,31.522,34.23,83.46,627.3785,427.6475,69,114,167,203,257,303,388,417,517,567,712,755,699,795,3516537.895,3511285.448,3521025.55,2425138.468,372.7363425
21,5,21_5,1145,119.22581,999.4,47.522,44.064,37.286,49.252,53.424,113.4,773.157,548.668,86,134,206,257,324,369,467,520,638,689,846,899,830,943,3709469.923,3704497.93,3715517.363,2587988.16,385.5606478
22,1,22_1,120,97.2,92.3,5,5,5,5,10.5,5.1,63.31,50.4,7,11,19,23,29,33,37,41,64,70,85,90,61,72,3460879.596,3435794.447,3469490.915,2920034.265,346.1760219
22,2,22_2,367,97.2,276.9,13,16,13.837,12.625,33.66,13.362,197.342,159.562,30,42,65,80,101,120,139,164,205,225,274,287,196,231,3492488.226,3460416.278,3506170.612,2985582.555,348.1469129
22,3,22_3,515,97.2,450.3,30,23.372,23.129,23.358,47.895,16.64,322.146,261.884,22,49,95,118,159,189,216,246,310,339,407,440,297,347,3530682.791,3506466.159,3541358.658,3086948.873,350.5284563
22,4,22_4,756,97.2,625.2,31,36.057,34.986,37.08,66.06,25.652,454.6885,376.2365,42,71,136,176,227,271,320,382,495,534,642,667,478,550,3704388.919,3680946.275,3715870.32,3232517.198,361.3595443
22,5,22_5,979,97.2,787.4,22.943,44.452,41.097,40.56,86.178,39.636,600.772,496.446,51,107,199,245,316,380,430,495,621,674,813,873,596,692,3701325.221,3670899.494,3721844.323,3149100.858,361.1685138
26,1,26_1,148,93,95,4,4,4,5.4,13.5,7.07,68.359,58.259,3,6,24,27,32,35,46,63,88,93,133,139,84,97,3561063.675,3519195.581,3577482.149,2967408.426,352.4227938
26,2,26_2,371,93,290.9,12.6,11.3,10.403,10.403,52.941,19.364,207.03,181.177,31,48,67,80,102,114,130,142,184,212,304,347,172,208,3648434.265,3586326.212,3671436.746,3114213.119,357.8706071
26,3,26_3,520,93,434.1,20.2,23.379,19.392,21.522,58.7445,17.992,322.95,282.728,33,60,82,116,161,181,204,225,293,324,446,465,275,326,3615970.88,3577025.325,3631751.241,3212491.923,355.8464196
26,4,26_4,825,93,686.5,37.2,34.845,34.272,32.548,85.8,41.195,503.631,431.839,38,79,116,154,222,260,303,357,445,493,718,758,421,502,3812137.574,3777742.292,3825770.264,3258870.758,368.0779899
26,5,26_5,952,93,851.3,65,42.824,39.312,36.65,92.5,55.08,615.851,519.954,43,99,153,198,268,318,361,435,542,604,810,866,506,601,3890626.39,3861357.889,3907503.891,3280714.346,372.9719984
27,1,27_1,148,127.5,91.8,3,3,3,3.5,9,3.03,73.673,64.684,1,3,11,13,17,19,41,48,84,89,130,141,83,95,2912796.092,2885618.614,2922878.059,2572234.654,341.435498
27,2,27_2,410,127.5,287.5,11,11.5,11.1,11.211,21.726,12.772,233.016,204.701,1,11,54,67,87,98,131,142,221,236,310,343,217,256,3045152.199,3029428.372,3050953.023,2628208.356,350.4668559
27,3,27_3,679,127.5,565.3,17.3,29.189,22.321,27.662,34.32,17.916,464.133,406.343,43,62,122,150,176,198,275,302,413,443,578,612,410,476,3069762.313,3060402.692,3080079.278,2711462.497,352.1461343
27,4,27_4,811,127.5,695.4,27.3,36.057,28.662,33.063,40.635,16.799,579.1195,512.9775,43,72,157,190,232,260,345,377,515,547,705,744,509,590,3168843.574,3161630.142,3175003.181,2859149.115,358.9069733
27,5,27_5,989,127.5,879.9,36.5,34.733,42.166,40.144,53.265,27.183,734.181,654.601,43,83,187,218,274,316,425,468,649,686,869,912,643,740,3263106.391,3254586.921,3268711.908,2911534.898,365.3390243
28,1,28_1,160,124.8,113.1,4,4,4,5,7,8.1645,84.782,57.8,3,6,11,14,19,22,41,45,54,59,99,114,95,109,2956769.829,2945547.573,2961855.778,2166365.718,338.4975062
28,2,28_2,436,124.8,323.5,10,11.3,7,15.13,18.281,32.13,256.191,175.311,7,16,30,43,66,72,99,113,144,161,275,295,263,305,3127425.479,3115460.522,3138106.503,2138438.717,349.9414733
28,3,28_3,677,124.8,674.5,23,29.12,32.32,29.58,33.074,49.455,532.6925,379.4395,18,39,84,112,153,176,219,247,292,323,514,544,496,562,3218487.105,3214563.675,3224205.296,2397063.08,356.0479588
28,4,28_4,984,124.8,939.6,41,37.572,34.068,53.56,40.664,66.3165,754.5005,538.9345,27,66,130,168,228,256,321,366,430,476,762,802,732,830,3352161.637,3344247.544,3357637.335,2513585.867,365.0120157
28,5,28_5,1198,124.8,1149.3,49.5,46.924,50.229,70.72,49.946,112.3245,900.8195,640.0425,27,78,157,206,282,357,429,487,582,629,910,971,885,1004,3647171.865,3638216.022,3651355.248,2618510.51,384.7950545
36,1,36_1,266,139.53488,163.4,5,5,5.7,8,6.767,10.605,133.653,75.2,10,14,24,28,34,45,78,84,106,127,171,177,168,193,2885689.957,2878444.128,2890525.06,1946560.164,351.2957617
36,2,36_2,618,139.53488,397.4,12.3,12.67,12.726,14.688,9.631,23.667,347.284,196.594,35,48,90,107,132,149,224,240,286,307,398,414,390,450,2804032.475,2800603.625,2808076.264,1848422.845,345.5317041
36,3,36_3,812,139.53488,568,26.4,17.17,19.19,26.112,13.081,39.8475,480.938,275.689,37,66,121,146,176,194,270,298,362,389,501,528,488,568,3043649.681,3035750.856,3052177.959,2025272.466,362.4458598
36,4,36_4,1300,139.53488,881.1,36.604,31.314,32.033,35.774,19.292,59.577,771.822,474.818,85,124,215,251,314,363,483,526,639,685,880,919,860,987,3150449.346,3145655.782,3158495.498,2155622.997,369.9846597
36,5,36_5,1437,139.53488,1023.7,40.664,31.416,38.419,43.26,19.474,73.221,904.22,545.15,87,130,233,270,341,398,540,590,711,757,973,1020,950,1091,3213520.197,3207254.013,3223311.007,2147335.093,374.4367198
38,1,38_1,113,96.27907,86.4,4,4,4,4,9,4,63.422,58.4,6,9,28,31,36,39,44,47,63,68,86,89,60,70,3229849.285,3205606.762,3238171.345,2871240.856,334.9005138
38,2,38_2,347,96.27907,319,12,19.2,12.04,17.372,30.906,14.42,234.698,217.188,23,34,47,67,93,104,117,135,232,254,316,329,218,251,3287609.425,3264381.184,3302147.615,2931823.273,338.536005
38,3,38_3,618,96.27907,497.7,21.2,31.209,21.528,31.11,48.516,21,368.716,344.394,39,70,107,143,186,217,254,295,430,460,548,585,412,472,3485141.282,3463857.008,3499453.011,3148942.201,350.9688924
38,4,38_4,852,96.27907,757.3,33.8,45.551,36.72,46.453,73.149,40.344,557.739,518.505,37,76,123,175,238,281,345,397,591,635,773,813,569,654,3673902.643,3653106.184,3686970.391,3252232.87,362.8497546
38,5,38_5,967,96.27907,892.6,48.3,47.571,51.254,49.876,83.952,59.611,638.881,586.858,41,89,149,194,256,305,376,423,621,678,851,913,593,688,3827806.181,3809366.209,3835360.618,3298732.396,372.5366243
41,1,41_1,151,142.43902,126.4,3,3,6,5,7,13.635,98.734,68.03,5,7,13,15,21,26,43,47,59,64,102,108,97,111,3039446.756,3028335.364,3049534.731,2050709.494,365.1670927
41,2,41_2,399,142.43902,401.7,9.7,10,10.1,8.989,35.7,47.64,321.752,234.142,26,41,78,87,109,118,140,156,203,219,290,308,276,314,3209662.753,3181851.789,3220165.542,2162624.804,377.2824665
41,3,41_3,659,142.43902,617.1,24.4,14.544,18.281,23.766,28.119,46.305,519.465,379.825,44,67,120,137,177,200,249,272,363,383,503,529,485,550,3048857.994,3042147.909,3056762.633,2222380.216,365.8369513
41,4,41_4,920,142.43902,922.6,35,30.603,33.864,33.063,41.013,69.7965,775.917,541.551,55,87,159,189,250,280,340,379,484,510,670,708,643,734,3204003.254,3199801.717,3207005.504,2303620.221,376.8796434
41,5,41_5,1224,142.43902,1101.9,42.23,34.578,36.256,50.96,56.286,75.864,925.444,672.099,84,121,216,255,339,369,450,496,613,660,902,951,849,971,3276024.264,3268127.36,3282531.805,2447554.3,382.0058446
41,6,41_6,1126,142.43902,1053.6,40.645,27.507,35.568,27.248,46.916,94.932,901.175,636.92,82,114,183,217,297,343,423,474,596,639,844,893,813,922,3211806.149,3204427.969,3217924.467,2222186.977,377.4350259
43,1,43_1,122,120,88,3,3,3,3,9.45,6.666,65.2,56.11,5,7,13,15,21,23,29,31,75,83,101,112,73,84,3116961.57,3086559.818,3127397.993,2523309.578,352.3032827
43,2,43_2,366,120,297.8,11.2,11,11.09,10.504,20.502,15.244,234.716,202.374,21,33,61,71,99,109,137,150,227,252,309,330,219,254,2985484.752,2971579.723,2991044.595,2508205.801,343.4092626
43,3,43_3,715,120,563.7,26.3,22.523,25.806,18.334,45.9,30.104,444.977,389.973,55,88,152,176,226,253,304,336,495,525,604,644,484,553,3254501.078,3235942.362,3265914.731,2770388.481,361.6074259
43,4,43_4,983,120,883.2,37.382,37.916,40.376,39,57.7455,34.344,729.1435,627.3315,75,110,188,227,302,342,417,457,688,724,831,869,672,769,3319268.6,3309042.807,3323707.532,2876270.777,365.9887582
43,5,43_5,1131,120,985.5,34.529,35.802,42.864,40.53,70.41,44.827,824.907,715.107,90,140,246,290,380,424,513,555,797,844,971,1020,779,891,3340437.328,3324591.537,3348541.279,2855829.741,367.4207604
44,1,44_1,165,121.875,88.7,3,4.2,3,7.5,6.04,4.747,69.458,59.257,9,11,17,31,39,41,82,86,99,104,116,126,79,94,3192017.406,3172476.254,3206047.56,2707555.898,354.2729319
44,2,44_2,427,121.875,312.9,10.1,12.16,11.413,30.753,24.138,11.845,240.824,216.377,42,52,94,106,132,145,219,233,289,312,345,369,207,248,3275541.818,3248224.061,3292794.403,2926079.25,359.8739808
44,3,44_3,637,121.875,451.4,18,16.564,17.85,32.136,20.384,22.47,361.266,323.201,80,95,154,173,220,241,338,362,443,471,501,525,323,382,3137598.177,3123368.799,3144457.938,2701355.069,350.6236424
44,4,44_4,809,121.875,628.5,26.493,32.423,24.515,46.221,32.908,30.104,496.416,450.536,84,112,186,224,289,320,473,501,587,622,662,693,451,530,3370828.354,3357541.534,3380124.94,2950804.975,366.2637837
44,5,44_5,1072,121.875,857.4,35.552,36.619,36.9,61.851,47.337,49.324,682.992,608.808,117,161,259,301,399,447,632,670,789,832,883,931,600,702,3491708.03,3477849.002,3498956.155,2977653.871,374.3698326
44,6,44_6,1020,121.875,811.3,25.584,49.776,27.913,55.841,40.85,60.209,620.1335,537.5295,96,122,201,246,316,347,550,611,787,836,886,934,503,602,3490918.99,3476773.134,3504454.191,2844594.126,374.3169205
45,1,45_1,139,116.30769,83.7,3.5,6,3,4.2,9.09,3.03,62.776,55.605,7,14,27,30,40,42,62,76,104,108,119,121,102,114,3274007.061,3246275.679,3291438.194,2934104.774,356.6151752
45,2,45_2,339,116.30769,246.6,7.3,10,11.22,9.191,31.209,13.056,183.976,161.203,21,30,42,51,90,102,121,130,169,190,232,269,164,196,3275538.722,3236838.272,3293507.551,2818331.045,356.7169856
45,3,45_3,539,116.30769,375,14.2,19.07,23.23,15.708,32.5995,18.096,292.1345,265.0175,25,38,90,107,174,196,235,253,367,383,451,471,359,411,3377129.104,3357994.34,3389951.193,2969558.162,363.4697581
45,4,45_4,839,116.30769,679.7,27.3,35.451,34.496,34.112,60.837,39.804,511.836,467.247,51,78,125,158,288,326,404,443,565,610,721,758,554,635,3525382.998,3506207.918,3536355.1,3051552.522,373.3242816
45,5,45_5,1039,116.30769,818.2,38,42.622,42.767,33.39,90.843,45.948,621.908,572.325,53,98,153,195,359,404,507,554,705,756,896,947,686,789,3726489.868,3696691.496,3741098.07,3265650.196,386.6919735
46,1,46_1,237,118.8,130.4,5,5,14.4,9.393,5.05,5.05,94.258,83.045,13,17,23,27,67,81,143,154,178,182,188,192,65,85,3233123.032,3202408.784,3248464.303,2872971.357,357.0294268
46,2,46_2,413,118.8,343.4,15,9,25.755,18.666,15.31,15.45,266.534,235.751,43,57,75,83,122,138,218,236,287,301,322,336,115,155,3109597.891,3093499.511,3123484.791,2697440.884,348.7459762
46,3,46_3,770,118.8,589.4,24.86,21.917,35.973,28.184,35.7,31.164,459.155,406.463,76,105,164,200,271,315,456,490,568,598,645,676,265,339,3263750.062,3255279.151,3272456.529,2794071.706,359.0832394
46,4,46_4,1034,118.8,929.9,52.52,35.19,61.404,47.276,44.42,51.512,732.242,653.624,112,159,228,275,397,439,617,663,752,812,882,931,387,488,3475467.713,3465903.382,3484740.128,2980584.74,373.2807761
46,5,46_5,1174,118.8,1085.4,52.328,36.361,79.668,45.689,63.97,64.9,860.787,779.277,145,201,277,325,471,528,720,765,868,923,1002,1068,457,574,3555497.61,3540266.438,3568193.361,3039818.664,378.6474868
47,1,47_1,286,179.29412,166.7,4,5.1,7.7,7.777,4.04,10.251,140.541,99.792,16,19,56,70,85,97,106,118,150,153,208,220,204,230,2792922.667,2784180.367,2800282.256,2058817.721,373.4764392
47,2,47_2,684,179.29412,439.5,14,12.221,16.218,16.218,12.36,25.83,383.891,273.7475,48,61,139,160,237,257,279,299,379,399,524,543,513,580,2831453.942,2828093.094,2834710.662,2085405.383,376.4229485
47,3,47_3,1056,179.29412,719,26.553,23.868,25.647,25.896,25.83,36.594,637.41,448.854,89,118,232,267,353,379,417,443,567,594,743,772,719,824,2968029.402,2967140.25,2969391.327,2232532.624,386.8669543
47,4,47_4,1363,179.29412,1022.2,28.28,21.63,40.221,40.58,40.66,64.095,925.896,635.081,105,148,306,344,470,514,561,605,736,767,995,1038,967,1101,3118102.439,3113247.696,3126639.278,2243151.108,398.3431277
47,5,47_5,1586,179.29412,1244.7,33.33,26.075,52.524,53.022,48.88,59.895,1137.494,804.524,107,155,376,429,581,627,681,727,886,926,1194,1239,1165,1322,3119671.931,3113203.594,3129306.051,2351179.787,398.4631476
