楽曲ID,難易度ID,ID_DifN,ノーツ数,譜面再生時間,累計基礎係数,s1係数,s2係数,s3係数,s4係数,s5係数,s6係数,s外係数,s6前s外係数,s1始点,s1終点,s2始点,s2終点,s3始点,s3終点,s4始点,s4終点,s5始点,s5終点,s6始点,s6終点,SF始点,SF終点,s1係数(CB無),s2係数(CB無),s3係数(CB無),s4係数(CB無),s5係数(CB無),s6係数(CB無),s外係数(CB無)
15,5,15_5,902,103.38462,878.2,47.973,43.198,45.526,45.519,48.76,40.125,641.838,528.304,64,110,196,238,325,365,459,508,609,649,737,785,443,532,47.9,42.4,44.2,43.7,46,37.5,616.5
18,1,18_1,229,125.83784,147.7,4,4.7,8.4,8.8,8.08,4.04,110.706,90.03,16,19,31,41,54,64,80,95,151,158,193,196,149,170,4,4.7,8.4,8.8,8,4,109.8
18,2,18_2,467,125.83784,259.5,12.6,9.2,14.544,13.433,11.73,5.871,195.874,167.217,29,46,65,84,109,124,150,165,250,274,332,361,243,286,12.6,9.2,14.4,13.3,11.5,5.7,192.8
18,3,18_3,765,125.83784,504.5,23.5,20.705,30.754,26.418,19.656,10.559,387.084,332.511,53,80,108,132,178,205,261,294,471,497,578,632,464,538,23.5,20.5,30.4,25.9,18.9,10,375.3
18,4,18_4,1073,125.83784,821.4,31.126,25.987,44.736,37.104,32.118,34.992,653.728,523.498,71,118,172,203,262,306,376,419,652,693,825,887,641,746,31,25.7,43.8,35.9,30.3,32.4,622.3
18,5,18_5,1208,125.83784,1029,55.954,29.274,50.779,45.24,38.057,38.485,825.059,658.739,103,160,226,260,328,373,453,500,761,809,953,1008,749,866,55.4,28.7,49.3,43.5,35.5,35.3,781.3
19,1,19_1,128,100.96552,91.5,4.7,4,4,7,7.714,5.757,58.52,52.46,9,19,31,34,37,40,54,60,93,105,110,121,51,62,4.7,4,4,7,7.7,5.7,58.4
19,2,19_2,338,100.96552,290.5,13,13.1,14.544,16.362,20.196,19.131,197.684,185.304,40,52,79,92,107,124,175,192,250,272,292,324,167,199,13,13.1,14.4,16.2,19.8,18.6,195.4
19,3,19_3,562,100.96552,514.9,29.11,24.745,20.094,22.454,38.688,19.845,372.093,354.978,84,111,156,184,217,240,309,337,444,479,516,542,293,346,29,24.5,19.7,21.8,37.2,18.9,363.8
19,4,19_4,701,100.96552,639.1,35.361,30.002,24.684,28.974,42.315,32.33,464.674,439.224,82,117,182,216,254,296,381,417,551,590,625,666,362,432,35.2,29.6,24.2,28,40.3,30.5,451.3
19,5,19_5,824,100.96552,791.8,37.33,42.27,29.414,35.152,56.71,52.43,567.786,537.194,99,133,195,240,284,325,443,483,647,697,744,790,419,498,37,41.5,28.6,33.8,53.5,49,548.4
19,6,19_6,1000,100.96552,904.8,44.3,44.111,31.132,66.166,54.281,66.302,639.307,584.569,37,74,162,232,287,326,461,530,761,822,879,952,437,536,44.3,43.5,30.3,63.3,50.6,61,611.8
21,1,21_1,195,119.22581,136.8,4,4,4,8.9,12,9.696,94.849,72.124,5,8,13,16,21,24,55,70,88,98,144,158,140,158,4,4,4,8.9,12,9.6,94.3
21,2,21_2,405,119.22581,357.8,10,11.4,11.4,18.382,26.806,29.458,256.034,191.636,13,22,43,57,79,93,132,147,191,212,302,325,290,329,10,11.4,11.4,18.2,26.4,28.6,251.8
21,3,21_3,751,119.22581,613.3,24.4,24.179,26.765,26.724,34.602,51.03,446.225,300.232,20,47,94,126,164,192,247,297,390,429,547,589,538,612,24.4,24,26.5,26.2,33.4,48.6,430.2
21,4,21_4,972,119.22581,792.9,40.722,29.421,36.222,31.522,34.23,55.64,601.028,416.812,69,114,167,203,257,303,388,417,517,567,712,755,699,795,40.6,29.1,35.5,30.4,32.6,52,572.7
21,5,21_5,1145,119.22581,999.4,47.522,44.064,37.286,49.252,53.424,75.6,745.528,536.626,86,134,206,257,324,369,467,520,638,689,846,899,830,943,47.2,43.2,36.2,47.2,50.4,70,705.2
22,1,22_1,120,97.2,92.3,5,5,5,5,7,5.1,60.31,47.4,7,11,19,23,29,33,37,41,64,70,85,90,61,72,5,5,5,5,7,5.1,60.2
22,2,22_2,367,97.2,276.9,13,16,13.837,12.625,22.44,13.362,189.212,151.432,30,42,65,80,101,120,139,164,205,225,274,287,196,231,13,16,13.7,12.5,22,13.1,186.6
22,3,22_3,515,97.2,450.3,30,23.372,23.129,23.358,31.93,16.64,310.841,250.579,22,49,95,118,159,189,216,246,310,339,407,440,297,347,30,23.2,22.9,22.9,31,16,304.3
22,4,22_4,756,97.2,625.2,31,36.057,34.986,37.08,44.04,25.652,437.401,358.949,42,71,136,176,227,271,320,382,495,534,642,667,478,550,31,35.7,34.3,36,42,24.2,422
22,5,22_5,979,97.2,787.4,22.943,44.452,41.097,40.56,57.452,39.636,577.911,473.585,51,107,199,245,316,380,430,495,621,674,813,873,596,692,22.9,43.6,39.9,39,54.2,36.7,551.1
26,1,26_1,148,93,95,4,4,4,5.4,9,7.07,61.859,51.759,3,6,24,27,32,35,46,63,88,93,133,139,84,97,4,4,4,5.4,9,7,61.6
26,2,26_2,371,93,290.9,12.6,11.3,10.403,10.403,38.014,19.364,192.89,167.037,31,48,67,80,102,114,130,142,184,212,304,347,172,208,12.6,11.3,10.3,10.3,37.4,18.8,190.2
26,3,26_3,520,93,434.1,20.2,23.379,19.392,21.522,39.163,17.992,301.418,261.196,33,60,82,116,161,181,204,225,293,324,446,465,275,326,20.2,23.3,19.2,21.1,38.1,17.3,294.9
26,4,26_4,825,93,686.5,37.2,34.845,34.272,32.548,57.2,41.195,473.461,401.669,38,79,116,154,222,260,303,357,445,493,718,758,421,502,37.2,34.5,33.6,31.6,55,38.5,456.1
26,5,26_5,952,93,851.3,65,42.824,39.312,36.65,64.14,55.08,584.351,488.454,43,99,153,198,268,318,361,435,542,604,810,866,506,601,65,42.4,38.4,35.4,61,51,558.1
27,1,27_1,148,127.5,91.8,3,3,3,3.5,6,3.03,70.573,61.584,1,3,11,13,17,19,41,48,84,89,130,141,83,95,3,3,3,3.5,6,3,70.3
27,2,27_2,410,127.5,287.5,11,11.5,11.1,11.211,14.484,12.772,219.552,191.237,1,11,54,67,87,98,131,142,221,236,310,343,217,256,11,11.5,11.1,11.1,14.2,12.4,216.2
27,3,27_3,679,127.5,565.3,17.3,29.189,22.321,27.662,22.88,17.916,444.789,386.999,43,62,122,150,176,198,275,302,413,443,578,612,410,476,17.3,28.9,22.1,27.1,22,17,430.9
27,4,27_4,811,127.5,695.4,27.3,36.057,28.662,33.063,27.09,16.799,551.662,485.52,43,72,157,190,232,260,345,377,515,547,705,744,509,590,27.3,35.7,28.1,32.1,25.8,15.7,530.7
27,5,27_5,989,127.5,879.9,36.5,34.733,42.166,40.144,35.51,27.183,703.798,624.218,43,83,187,218,274,316,425,468,649,686,869,912,643,740,36.5,34.2,41.2,38.6,33.5,25.1,670.8
28,1,28_1,160,124.8,113.1,4,4,4,5,7,7.16,82.282,54.8,3,6,11,14,19,22,41,45,54,59,99,114,95,109,4,4,4,5,7,7.1,82
28,2,28_2,436,124.8,323.5,10,11.3,7,15.13,18.281,21.42,245.363,167.661,7,16,30,43,66,72,99,113,144,161,275,295,263,305,10,11.3,7,15,18.1,20,242.1
28,3,28_3,677,124.8,674.5,23,29.12,32.32,29.58,33.074,32.97,514.185,369.962,18,39,84,112,153,176,219,247,292,323,514,544,496,562,22,28,32,29,32.2,30.4,500.9
28,4,28_4,984,124.8,939.6,41,37.572,34.068,53.56,40.664,44.211,729.842,530.535,27,66,130,168,228,256,321,366,430,476,762,802,732,830,40,36.2,33.4,51,39.1,40.3,699.6
28,5,28_5,1198,124.8,1149.3,49.5,46.924,50.229,70.72,49.946,74.883,871.172,626.334,27,78,157,206,282,357,429,487,582,629,910,971,885,1004,47.5,44.4,48.9,66,47.3,67.7,827.5
36,1,36_1,266,139.53488,163.4,5,5,5.7,8,6.767,7.07,127.189,72.675,10,14,24,28,34,45,78,84,106,127,171,177,168,193,5,5,5.7,8,6.7,7,126
36,2,36_2,618,139.53488,397.4,12.3,12.67,12.726,14.688,9.631,15.778,330.004,192.371,35,48,90,107,132,149,224,240,286,307,398,414,390,450,12.3,12.6,12.6,14.4,9.4,15.2,320.9
36,3,36_3,812,139.53488,568,26.4,17.17,19.19,26.112,13.081,26.565,458.267,268.243,37,66,121,146,176,194,270,298,362,389,501,528,488,568,26.4,17,19,25.6,12.7,25.3,442
36,4,36_4,1300,139.53488,881.1,36.604,31.314,32.033,35.774,19.292,39.718,736.049,464.234,85,124,215,251,314,363,483,526,639,685,880,919,860,987,36.4,30.7,31.1,34.2,18.2,36.6,693.9
36,5,36_5,1437,139.53488,1023.7,40.664,31.416,38.419,43.26,19.474,48.814,864.833,532.833,87,130,233,270,341,398,540,590,711,757,973,1020,950,1091,40.4,30.8,37.3,41.2,18.2,44.6,811.2
38,1,38_1,113,96.27907,86.4,4,4,4,4,6,4,60.422,55.4,6,9,28,31,36,39,44,47,63,68,86,89,60,70,4,4,4,4,6,4,60.4
38,2,38_2,347,96.27907,319,12,19.2,12.04,17.372,21.624,14.42,226.538,209.028,23,34,47,67,93,104,117,135,232,254,316,329,218,251,12,19.2,12,17.2,21.2,14,223.4
38,3,38_3,618,96.27907,497.7,21.2,31.209,21.528,31.11,32.344,21,352.596,328.274,39,70,107,143,186,217,254,295,430,460,548,585,412,472,21.2,30.9,21.2,30.5,31.1,20,342.8
38,4,38_4,852,96.27907,757.3,33.8,45.551,36.72,46.453,48.766,40.344,535.069,495.835,37,76,123,175,238,281,345,397,591,635,773,813,569,654,33.8,45.1,36,45.1,46.1,37.6,513.6
38,5,38_5,967,96.27907,892.6,48.3,47.571,51.254,49.876,55.968,59.611,617.731,565.708,41,89,149,194,256,305,376,423,621,678,851,913,593,688,48.3,47.1,50.2,48.2,52.8,55.1,590.9
41,1,41_1,151,142.43902,126.4,3,3,6,5,7,9.09,93.714,64.02,5,7,13,15,21,26,43,47,59,64,102,108,97,111,3,3,6,5,7,9,93.4
41,2,41_2,399,142.43902,401.7,9.7,10,10.1,8.989,35.7,31.76,302.312,218.842,26,41,78,87,109,118,140,156,203,219,290,308,276,314,9.7,10,10,8.9,35,31,297.1
41,3,41_3,659,142.43902,617.1,24.4,14.544,18.281,23.766,28.119,30.87,494.681,367.221,44,67,120,137,177,200,249,272,363,383,503,529,485,550,24.4,14.4,18.1,23.3,27.3,28.4,481.2
41,4,41_4,920,142.43902,922.6,35,30.603,33.864,33.063,41.013,46.531,740.668,522.153,55,87,159,189,250,280,340,379,484,510,670,708,643,734,34,30.3,33.2,32.1,39.3,42.8,710.9
41,5,41_5,1224,142.43902,1101.9,42.23,34.578,36.256,50.96,56.286,50.576,890.886,646.37,84,121,216,255,339,369,450,496,613,660,902,951,849,971,42,33.9,35.2,49,53.1,45.4,843.3
41,6,41_6,1126,142.43902,1053.6,40.645,27.507,35.568,27.248,46.916,63.288,868.945,615.266,82,114,183,217,297,343,423,474,596,639,844,893,813,922,40.5,27.1,34.6,26.2,44.3,57.6,823.3
43,1,43_1,122,120,88,3,3,3,3,6.3,6.666,63.2,54.11,5,7,13,15,21,23,29,31,75,83,101,112,73,84,3,3,3,3,6.3,6.6,63.1
43,2,43_2,366,120,297.8,11.2,11,11.09,10.504,13.668,15.244,229.106,196.764,21,33,61,71,99,109,137,150,227,252,309,330,219,254,11.2,11,11,10.4,13.4,14.8,226
43,3,43_3,715,120,563.7,26.3,22.523,25.806,18.334,30.6,30.104,428.242,373.238,55,88,152,176,226,253,304,336,495,525,604,644,484,553,26.3,22.3,25.3,17.8,29.2,28.4,414.4
43,4,43_4,983,120,883.2,37.382,37.916,40.376,39,38.497,34.344,695.689,593.877,75,110,188,227,302,342,417,457,688,724,831,869,672,769,37.3,37.3,39.2,37.5,36.1,31.8,664
43,5,43_5,1131,120,985.5,34.529,35.802,42.864,40.53,46.94,44.827,793.016,683.216,90,140,246,290,380,424,513,555,797,844,971,1020,779,891,34.3,35.1,41.4,38.6,43.5,41,751.6
44,1,44_1,165,121.875,88.7,3,4.2,3,5,6.04,4.747,62.958,52.757,9,11,17,31,39,41,82,86,99,104,116,126,79,94,3,4.2,3,5,6,4.7,62.8
44,2,44_2,427,121.875,312.9,10.1,12.16,11.413,20.502,24.138,11.845,227.36,202.913,42,52,94,106,132,145,219,233,289,312,345,369,207,248,10.1,12.1,11.3,20.1,23.6,11.5,224.2
44,3,44_3,637,121.875,451.4,18,16.564,17.85,21.424,20.384,22.47,345.198,307.133,80,95,154,173,220,241,338,362,443,471,501,525,323,382,18,16.4,17.5,20.8,19.6,21.4,337.7
44,4,44_4,809,121.875,628.5,26.493,32.423,24.515,30.814,32.908,30.104,471.806,425.926,84,112,186,224,289,320,473,501,587,622,662,693,451,530,26.4,31.9,23.9,29.6,31.2,28.4,457.1
44,5,44_5,1072,121.875,857.4,35.552,36.619,36.9,41.234,47.337,49.324,650.57,576.386,117,161,259,301,399,447,632,670,789,832,883,931,600,702,35.2,35.9,35.5,38.9,44,45.4,622.5
44,6,44_6,1020,121.875,811.3,25.584,49.776,27.913,38.252,40.85,60.209,606.431,523.827,96,122,201,246,316,347,550,611,787,836,886,934,503,602,25.4,48.8,27.1,36.4,37.9,55.4,580.3
45,1,45_1,139,116.30769,83.7,3.5,6,3,4.2,6.06,3.03,58.231,51.06,7,14,27,30,40,42,62,76,104,108,119,121,102,114,3.5,6,3,4.2,6,3,58
45,2,45_2,339,116.30769,246.6,7.3,10,11.22,9.191,20.806,13.056,177.411,154.638,21,30,42,51,90,102,121,130,169,190,232,269,164,196,7.3,10,11.2,9.1,20.6,12.8,175.6
45,3,45_3,539,116.30769,375,14.2,19.07,23.23,15.708,21.733,18.096,270.388,243.271,25,38,90,107,174,196,235,253,367,383,451,471,359,411,14.2,19,23,15.4,21.1,17.4,264.9
45,4,45_4,839,116.30769,679.7,27.3,35.451,34.496,34.112,40.558,39.804,491.756,447.167,51,78,125,158,288,326,404,443,565,610,721,758,554,635,27.3,35.1,33.6,32.8,38.6,37.2,475.1
45,5,45_5,1039,116.30769,818.2,38,42.622,42.767,33.39,60.562,45.948,592.033,542.45,53,98,153,195,359,404,507,554,705,756,896,947,686,789,38,42.2,41.5,31.8,56.6,42.2,565.9
46,1,46_1,237,118.8,130.4,5,5,9.6,9.393,5.05,5.05,92.108,80.895,13,17,23,27,67,81,143,154,178,182,188,192,65,85,5,5,9.6,9.3,5,5,91.5
46,2,46_2,413,118.8,343.4,15,9,17.17,18.666,15.31,15.45,257.949,227.166,43,57,75,83,122,138,218,236,287,301,322,336,115,155,15,9,17,18.3,15,15,254.1
46,3,46_3,770,118.8,589.4,24.86,21.917,23.982,28.184,35.7,31.164,443.071,390.379,76,105,164,200,271,315,456,490,568,598,645,676,265,339,24.8,21.7,23.4,27.1,34,29.4,429
46,4,46_4,1034,118.8,929.9,52.52,35.19,40.936,47.276,44.42,51.512,701.306,622.688,112,159,228,275,397,439,617,663,752,812,882,931,387,488,52,34.5,39.4,44.6,41.4,47.4,670.6
46,5,46_5,1174,118.8,1085.4,52.328,36.361,53.112,45.689,63.97,64.9,828.003,746.493,145,201,277,325,471,528,720,765,868,923,1002,1068,457,574,51.8,35.5,50.8,42.7,59,59,786.6
47,1,47_1,286,179.29412,166.7,4,5.1,7.7,7.777,4.04,6.834,132.84,96.732,16,19,56,70,85,97,106,118,150,153,208,220,204,230,4,5.1,7.7,7.7,4,6.7,131.5
47,2,47_2,684,179.29412,439.5,14,12.221,16.218,16.218,12.36,17.22,364.046,268.235,48,61,139,160,237,257,279,299,379,399,524,543,513,580,14,12.1,15.9,15.9,12,16.4,353.2
47,3,47_3,1056,179.29412,719,26.553,23.868,25.647,25.896,25.83,24.396,600.839,435.586,89,118,232,267,353,379,417,443,567,594,743,772,719,824,26.4,23.4,24.9,24.9,24.6,22.8,572
47,4,47_4,1363,179.29412,1022.2,28.28,21.63,40.221,40.58,40.66,42.73,871.567,614.807,105,148,306,344,470,514,561,605,736,767,995,1038,967,1101,28,21,38.6,38.6,38,38.9,819.1
47,5,47_5,1586,179.29412,1244.7,33.33,26.075,52.524,53.022,48.88,39.93,1075.894,783.514,107,155,376,429,581,627,681,727,886,926,1194,1239,1165,1322,33,25.2,49.8,49.8,45,36.3,1005.6
48,1,48_1,307,170.1732,159.1,4,4,8.787,4.04,8.466,5.1,126.497,116.856,51,54,74,77,114,126,176,179,222,231,273,286,214,242,4,4,8.7,4,8.3,5,125.1
48,2,48_2,614,170.1732,396.4,13,15.15,13.974,16.068,15.912,14.805,316.897,301.298,73,85,137,151,216,231,327,347,412,425,523,537,404,463,13,15,13.7,15.6,15.3,14.1,309.7
48,3,48_3,899,170.1732,687.7,25.754,24.48,21.321,27.72,23.108,25.38,566.993,542.369,90,119,216,239,364,384,528,557,666,690,806,832,654,742,25.6,24,20.7,26.4,21.8,23.5,545.7
48,4,48_4,1248,170.1732,953.3,34.845,29.338,37.728,32.742,39.131,41.25,792.377,736.937,123,159,279,310,483,518,726,770,925,960,1111,1150,914,1036,34.5,28.7,36.1,30.6,35.9,37.5,750
48,5,48_5,1417,170.1732,1208.9,38.986,39.037,51.135,40.392,59.95,44.66,1009.534,936.384,115,156,307,348,533,575,821,870,1036,1086,1268,1311,1024,1164,38.6,37.9,48.7,37.4,54.5,40.6,951.2
49,1,49_1,376,141,204.3,6,6,8.111,6.06,10.807,12.852,156.98,117.358,17,22,33,38,76,102,120,125,162,178,232,258,158,194,5,5,7.1,5,9.7,11.5,161
49,2,49_2,751,141,505,20,17.776,12.671,17.544,19.178,28.56,404.52,300.155,35,54,101,123,185,210,259,277,379,402,508,545,372,446,19,16.6,11.5,16.2,17.6,25.2,398.9
